77,25,40,86,0,72,4,72,48,37,34,50,98,61,20
96,45,90,51,82,69,0,73,2,95,12,78,28,58,41
41,49,7,28,34,65,4,23,71,48,66,55,45,69,72
6,10,57,30,4,7,82,76,5,81,81,36,86,33,21
83,9,33,76,3,46,18,91,24,28,23,64,90,18,30
39,9,92,59,71,17,7,43,65,61,79,17,91,23,7
83,91,86,86,78,14,72,94,18,63,7,7,19,9,39
85,83,37,7,12,54,56,11,48,57,85,83,67,48,94
13,12,16,84,58,79,73,71,66,66,1,26,12,43,12
37,42,51,14,4,49,21,36,21,69,0,60,27,59,58
99,78,90,69,45,17,55,41,35,96,44,48,40,9,21
90,65,82,72,98,72,28,17,76,98,14,81,66,69,73
52,43,84,12,32,91,45,54,99,84,3,32,62,45,81
85,34,8,81,60,69,48,82,10,29,55,34,24,55,6
60,8,90,53,34,92,16,68,64,31,5,7,11,73,54
