58,52,94,36,4,75,54,65,9,58,56,98,49,39,65
80,36,93,78,82,48,60,35,35,12,20,32,45,36,3
7,45,80,27,35,66,30,55,29,1,74,34,11,62,32
71,3,25,14,19,35,3,96,70,53,63,12,6,37,64
64,13,61,68,45,90,57,73,41,69,48,73,82,42,79
39,89,7,39,28,64,40,35,50,35,78,61,70,94,41
72,36,72,92,32,85,22,39,18,26,83,0,81,96,23
82,62,22,46,61,81,10,29,25,87,19,42,45,65,82
19,99,16,55,50,88,51,37,63,7,10,95,21,8,14
4,84,93,36,98,79,34,51,21,52,46,53,33,11,37
88,12,93,47,37,46,43,29,90,87,60,72,75,91,75
16,37,78,93,94,43,51,23,80,31,62,40,82,92,47
56,49,9,35,55,40,69,58,51,33,10,74,28,26,1
16,5,9,71,52,30,51,21,49,0,21,74,59,98,75
29,82,17,37,41,41,76,76,2,60,54,93,79,82,74
